modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 100, 50]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0917450539778084,0.1659535096697384,0.11006964252177773,0.29486081431340805,0.16648176667189354,0.43718018260186264,Keras,True,"[200, 100, 50]",3.0,False,0.0,0.0001,0.0,0.0001,22.0,12480,,,,199.0,124.0,33.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 200, 100]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0918283673487182,0.16653697564972192,0.11006964252177773,0.29486081431340805,0.16572485160429604,0.43520139820034043,Keras,True,"[400, 200, 100]",3.0,False,0.0,0.0001,0.0,0.0001,16.0,12485,,,,203.0,138.0,34.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 500]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.3/learningRate=0.0001",10,0.0918710238455156,0.1665785285542297,0.11006964252177773,0.29486081431340805,0.16533731062732812,0.43506047440683965,Keras,True,"[500, 500]",2.0,False,0.0,0.0001,0.3,0.0001,18.0,17353,,,,204.0,140.0,35.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[250]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.2/learningRate=0.0001,10,0.0914998200314429,0.168464342934084,0.11006964252177773,0.29486081431340805,0.16870975561368534,0.4286648657389145,Keras,True,[250],1.0,False,0.0,0.0001,0.2,0.0001,40.0,14891,,,,182.0,208.0,36.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 125]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0.3/learningRate=0.0001",10,0.0919681398889424,0.16661763055264592,0.11006964252177773,0.29486081431340805,0.164454996110793,0.43492786269135186,Keras,True,"[250, 125]",2.0,False,0.0,0.0,0.3,0.0001,33.0,17707,,,,211.0,145.0,37.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0/learningRate=0.001",10,0.0919846705488463,0.16658488281747472,0.11006964252177773,0.29486081431340805,0.16430481246773593,0.4350389243637801,Keras,True,"[500, 250]",2.0,False,0.0,0.0,0.0,0.001,15.0,3022,,,,212.0,141.0,38.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 100]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0919919451446287,0.1656034295684898,0.11006964252177773,0.29486081431340805,0.1642387216218339,0.43836745498345653,Keras,True,"[200, 100]",2.0,False,0.0,0.0001,0.0,0.0001,23.0,12469,,,,213.0,115.0,39.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[200, 100, 50]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0/learningRate=0.001",10,0.09199571553891961,0.1637211927763562,0.11006964252177773,0.29486081431340805,0.16420446699717517,0.44475093051077086,Keras,True,"[200, 100, 50]",3.0,False,0.0,0.0,0.0,0.001,12.0,3028,,,,214.0,65.0,40.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[175, 87]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.001",10,0.08982939462567921,0.168751022864201,0.11006964252177773,0.29486081431340805,0.18388583293612407,0.427692610640235,Keras,True,"[175, 87]",2.0,False,0.0,0.0001,0.0,0.001,15.0,2676,,,,125.0,217.0,41.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[100, 50, 50]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0/learningRate=0.0001",10,0.0920987306208786,0.1683253983111016,0.11006964252177773,0.29486081431340805,0.16326855878852797,0.429136086790467,Keras,True,"[100, 50, 50]",3.0,False,0.0,0.0001,0.0,0.0001,32.0,12477,,,,220.0,201.0,42.0
