modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
modelClass=Keras/isMultiWeek=True/hiddenLayers=[250]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.5/learningRate=0.0001,10,1.8100113482972073,2.742521088016931,2.217556984171578,3.827809465826908,0.18378135884820082,0.28352727258213356,Keras,True,[250],1.0,False,0.01,0.0,0.5,0.0001,57.0,18903,,,,267.0,501.0,34.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 350]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.5/learningRate=0.001",10,1.8204254946720695,2.7437731849589584,2.217556984171578,3.827809465826908,0.17908513392627276,0.28320016723553637,Keras,True,"[350, 350]",2.0,False,0.001,0.0,0.5,0.001,13.0,8715,,,,313.0,508.0,35.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[500]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.3/learningRate=0.0001,10,1.7790973232479166,2.745290129055334,2.217556984171578,3.827809465826908,0.19772193637110014,0.2828038716231454,Keras,True,[500],1.0,False,0.01,0.01,0.3,0.0001,52.0,16255,,,,148.0,513.0,36.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[30]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0/learningRate=0.0001,10,1.8614802057688942,2.7320722894360365,2.217556984171578,3.827809465826908,0.16057164751313258,0.28625697965720537,Keras,True,[30],1.0,False,0.01,0.0001,0.0,0.0001,77.0,11206,,,,513.0,435.0,36.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[70]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.5/learningRate=0.0001,10,1.8620028805847886,2.713278681037275,2.217556984171578,3.827809465826908,0.16033594903069215,0.29116673511043345,Keras,True,[70],1.0,False,0.01,0.001,0.5,0.0001,137.0,18622,,,,515.0,314.0,37.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[175]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.2/learningRate=0.0001,10,1.8621447115975138,2.7339316343722544,2.217556984171578,3.827809465826908,0.1602719908038066,0.2857712331871114,Keras,True,[175],1.0,False,0.01,0.01,0.2,0.0001,63.0,13800,,,,516.0,448.0,38.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[200]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.5/learningRate=0.0001,10,1.8116901897275823,2.7460183014174038,2.217556984171578,3.827809465826908,0.1830242908484343,0.2826136394894485,Keras,True,[200],1.0,False,0.01,0.01,0.5,0.0001,110.0,18697,,,,279.0,518.0,39.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[125]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0/learningRate=0.0001,10,1.8647067059118325,2.725538081620899,2.217556984171578,3.827809465826908,0.15911666792705276,0.28796401546279393,Keras,True,[125],1.0,False,0.01,0.001,0.0,0.0001,52.0,11282,,,,522.0,390.0,40.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[225]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.3/learningRate=0.001,10,1.8594567164929083,2.748721913775857,2.217556984171578,3.827809465826908,0.1614841333209062,0.2819073315128917,Keras,True,[225],1.0,False,0.01,0.001,0.3,0.001,29.0,6390,,,,499.0,528.0,41.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[400]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.3/learningRate=0.0001,10,1.8667314831143196,2.7162876486527034,2.217556984171578,3.827809465826908,0.15820360133307593,0.29038065428736964,Keras,True,[400],1.0,False,0.01,0.0,0.3,0.0001,48.0,16458,,,,534.0,327.0,42.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[100]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.3/learningRate=0.0001,10,1.8670694806075674,2.733726120391954,2.217556984171578,3.827809465826908,0.15805118247950853,0.2858249228971492,Keras,True,[100],1.0,False,0.01,0.01,0.3,0.0001,80.0,16245,,,,537.0,446.0,43.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[500]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.3/learningRate=0.0001,10,1.8312490175078109,2.7502187631752175,2.217556984171578,3.827809465826908,0.17420430204100568,0.28151628556018066,Keras,True,[500],1.0,False,0.01,0.001,0.3,0.0001,65.0,16187,,,,351.0,538.0,44.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.3/learningRate=0.0001,10,1.7773865616958402,2.7516248686412097,2.217556984171578,3.827809465826908,0.19849339864435284,0.28114894609917945,Keras,True,[1000],1.0,False,0.01,0.0001,0.3,0.0001,76.0,16120,,,,140.0,542.0,45.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[20]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.2/learningRate=0.001,10,1.8684709439499343,2.7329855657261053,2.217556984171578,3.827809465826908,0.157419197212672,0.28601838985846484,Keras,True,[20],1.0,False,0.01,0.01,0.2,0.001,35.0,3997,,,,544.0,440.0,46.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[100]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.2/learningRate=0.0001,10,1.8688940294740468,2.6770640796034932,2.217556984171578,3.827809465826908,0.15722840819253298,0.30062765571191336,Keras,True,[100],1.0,False,0.01,0.0001,0.2,0.0001,65.0,13661,,,,548.0,160.0,47.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 125]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.2/learningRate=0.001",10,1.86935571702431,2.701106163278481,2.217556984171578,3.827809465826908,0.15702021171615893,0.29434675696561324,Keras,True,"[250, 125]",2.0,False,0.01,0.0001,0.2,0.001,15.0,3903,,,,550.0,245.0,48.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[250]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.5/learningRate=0.0001,10,1.8694166489347601,2.7223078735307773,2.217556984171578,3.827809465826908,0.1569927346723287,0.2888078944800125,Keras,True,[250],1.0,False,0.01,0.0001,0.5,0.0001,73.0,18563,,,,551.0,363.0,49.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[60]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0/learningRate=0.0001,10,1.8700704008882965,2.7298756888678097,2.217556984171578,3.827809465826908,0.15669792738746402,0.2868308328199182,Keras,True,[60],1.0,False,0.01,0.0,0.0,0.0001,64.0,11549,,,,553.0,416.0,50.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[200]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.5/learningRate=0.0001,10,1.7653807941338135,2.753414036039288,2.217556984171578,3.827809465826908,0.20390735988535866,0.280681533231833,Keras,True,[200],1.0,False,0.01,0.0001,0.5,0.0001,72.0,18561,,,,108.0,553.0,50.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 500]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.001/dropoutValue=0.3/learningRate=0.001",10,1.8451486479264947,2.7536199373546024,2.217556984171578,3.827809465826908,0.16793630959801717,0.28062774233206306,Keras,True,"[500, 500]",2.0,False,0.001,0.001,0.3,0.001,17.0,5997,,,,423.0,554.0,51.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 175]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.001/dropoutValue=0.2/learningRate=0.001",10,1.870875516796875,2.6305542742234067,2.217556984171578,3.827809465826908,0.15633486302685223,0.31277815740101433,Keras,True,"[350, 175]",2.0,False,0.001,0.001,0.2,0.001,12.0,3564,,,,557.0,76.0,52.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[80]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.3/learningRate=0.0001,10,1.8717969245815032,2.698938101358462,2.217556984171578,3.827809465826908,0.15591935722871264,0.2949131545199781,Keras,True,[80],1.0,False,0.01,0.001,0.3,0.0001,80.0,16175,,,,560.0,234.0,53.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.5/learningRate=0.0001,10,1.8680955671845156,2.755885927989019,2.217556984171578,3.827809465826908,0.15758847212560456,0.2800357612905179,Keras,True,[1000],1.0,False,0.01,0.001,0.5,0.0001,69.0,18636,,,,541.0,568.0,54.0
modelClass=Keras/isMultiWeek=True/hiddenLayers=[300]/numberOfhiddenLayers=1/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.5/learningRate=0.0001,10,1.748299350728381,2.756973973929367,2.217556984171578,3.827809465826908,0.21161018038889293,0.27975151361568945,Keras,True,[300],1.0,False,0.01,0.001,0.5,0.0001,85.0,18632,,,,73.0,572.0,55.0
