modelId,week,model rmse 1,model rmse 2,last value baseline 1 rmse,last value baseline 2 rmse,rel. diff. to last value baseline 1,rel. diff. to last value baseline 2,modelClass,isMultiWeek,hiddenLayers,numberOfhiddenLayers,isTwoWay,l1reg,alpha,dropoutValue,learningRate,numberOfRanEpochs,modelIdNumber,l1_ratio,max_features,n_estimators,rank1,rank2,overallRank
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[400, 200]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.3/learningRate=0.0001",10,25.299639580159205,26.977845677745613,34.24296712938899,47.30958968594186,0.2611726815447071,0.4297594661709329,Keras,True,"[400, 200]",2.0,False,0.01,0.0,0.3,0.0001,48.0,16485,,,,911.0,1179.0,48.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[125, 63]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0.0001/dropoutValue=0.2/learningRate=0.001",10,25.383369878623707,26.980147325215846,34.24296712938899,47.30958968594186,0.258727499205568,0.42971081541142486,Keras,True,"[125, 63]",2.0,False,0.0,0.0001,0.2,0.001,16.0,5123,,,,1059.0,1181.0,49.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[125, 125]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.001/dropoutValue=0.2/learningRate=0.001",10,25.302640571310377,26.998230445115247,34.24296712938899,47.30958968594186,0.2610850433695503,0.4293285859306908,Keras,True,"[125, 125]",2.0,False,0.001,0.001,0.2,0.001,15.0,3542,,,,916.0,1193.0,50.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[225, 112]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.2/learningRate=0.0001",10,25.321876480287195,27.008614883554817,34.24296712938899,47.30958968594186,0.2605232956417867,0.4291090862793832,Keras,True,"[225, 112]",2.0,False,0.01,0.0,0.2,0.0001,37.0,14034,,,,950.0,1206.0,51.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[175, 175]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0/alpha=0/dropoutValue=0.5/learningRate=0.0001",10,24.475777289091972,27.02007270344502,34.24296712938899,47.30958968594186,0.2852319953288842,0.42886689817404844,Keras,True,"[175, 175]",2.0,False,0.0,0.0,0.5,0.0001,42.0,20135,,,,106.0,1219.0,52.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 1000]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.3/learningRate=0.0001",10,25.17171013363398,27.02415599305501,34.24296712938899,47.30958968594186,0.264908615000527,0.42878058819678805,Keras,True,"[1000, 1000]",2.0,False,0.01,0.001,0.3,0.0001,77.0,16198,,,,705.0,1225.0,53.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[175, 175]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.0001/dropoutValue=0.3/learningRate=0.001",10,25.474176083651432,26.825580759341868,34.24296712938899,47.30958968594186,0.2560756786234143,0.432977945118109,Keras,True,"[175, 175]",2.0,False,0.01,0.0001,0.3,0.001,13.0,6331,,,,1239.0,1024.0,54.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 125]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.2/learningRate=0.001",10,25.475550414313297,26.865740553115508,34.24296712938899,47.30958968594186,0.25603554393950473,0.43212907295413056,Keras,True,"[250, 125]",2.0,False,0.01,0.001,0.2,0.001,15.0,3971,,,,1244.0,1061.0,55.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0/dropoutValue=0.5/learningRate=0.0001",10,25.25630728933413,27.054343868651365,34.24296712938899,47.30958968594186,0.26243811776293374,0.4281424960933318,Keras,True,"[500, 250]",2.0,False,0.01,0.0,0.5,0.0001,46.0,18934,,,,840.0,1254.0,56.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[500, 500]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.01/dropoutValue=0.3/learningRate=0.001",10,25.038536996923114,27.05753156357421,34.24296712938899,47.30958968594186,0.26879768034371593,0.4280751166266316,Keras,True,"[500, 500]",2.0,False,0.01,0.01,0.3,0.001,36.0,6473,,,,532.0,1260.0,57.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[225, 112]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.01/alpha=0.001/dropoutValue=0.2/learningRate=0.0001",10,25.48510343395533,24.73738152325975,34.24296712938899,47.30958968594186,0.2557565663729306,0.477116971686387,Keras,True,"[225, 112]",2.0,False,0.01,0.001,0.2,0.0001,36.0,13762,,,,1262.0,40.0,58.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[350, 350]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.001/dropoutValue=0.5/learningRate=0.0001",10,25.482862961811747,27.067388734227986,34.24296712938899,47.30958968594186,0.25582199505307734,0.4278667620262385,Keras,True,"[350, 350]",2.0,False,0.001,0.001,0.5,0.0001,23.0,18235,,,,1257.0,1271.0,59.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[250, 250]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0.01/dropoutValue=0.3/learningRate=0.0001",10,25.497517551176294,26.295694891319382,34.24296712938899,47.30958968594186,0.2553940359539381,0.4441783353886664,Keras,True,"[250, 250]",2.0,False,0.001,0.01,0.3,0.0001,30.0,15854,,,,1287.0,585.0,60.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[1000, 500]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.001/alpha=0/dropoutValue=0.5/learningRate=0.001",10,25.50207221343899,27.069288460886508,34.24296712938899,47.30958968594186,0.25526102580194154,0.4278266068130749,Keras,True,"[1000, 500]",2.0,False,0.001,0.0,0.5,0.001,14.0,8735,,,,1294.0,1273.0,61.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[125, 125]/numberOfhiddenLayers=2/isTwoWay=False/l1reg=0.0001/alpha=0/dropoutValue=0.2/learningRate=0.0001",10,25.5091711264148,27.00452962338907,34.24296712938899,47.30958968594186,0.2550537157008926,0.42919543790899706,Keras,True,"[125, 125]",2.0,False,0.0001,0.0,0.2,0.0001,32.0,13198,,,,1306.0,1201.0,62.0
"modelClass=Keras/isMultiWeek=True/hiddenLayers=[300, 150, 75]/numberOfhiddenLayers=3/isTwoWay=False/l1reg=0.0001/alpha=0.0001/dropoutValue=0.2/learningRate=0.0001",10,25.510750251512977,25.621091497661293,34.24296712938899,47.30958968594186,0.25500760038932474,0.45843767262106155,Keras,True,"[300, 150, 75]",3.0,False,0.0001,0.0001,0.2,0.0001,22.0,12892,,,,1310.0,228.0,63.0
