geoRegion,datum,entries,sumTotal,timeframe_7d,offset_last7d,sumTotal_last7d,timeframe_14d,offset_last14d,sumTotal_last14d,timeframe_28d,offset_last28d,sumTotal_last28d,timeframe_phase2,offset_Phase2,sumTotal_Phase2,timeframe_phase2b,offset_Phase2b,sumTotal_Phase2b,timeframe_phase3,offset_Phase3,sumTotal_Phase3,sum7d,sum14d,mean7d,mean14d,timeframe_all,entries_diff_last_age,pop,inz_entries,inzmean7d,inzmean14d,inzsumTotal,inzsumTotal_last7d,inzsumTotal_last14d,inzsumTotal_last28d,inzsumTotal_Phase2,inzsumTotal_Phase2b,inzsumTotal_Phase3,inzsum7d,inzsum14d,sumdelta7d,inzdelta7d,type,type_variant,version,datum_unit,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last
CH,2020-03-31,125,2803,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,1108,2072,114.43,115.14,TRUE,1,8606033,1.45,1.33,1.34,32.57,NA,NA,NA,NA,NA,NA,12.87,24.08,-56,-0.6600000000000001,COVID19Hosp,,2021-06-25_07-49-37,day,125,0,5
CH,2020-04-01,97,2900,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,1006,2057,105.29,105.14,TRUE,1,8606033,1.13,1.22,1.22,33.7,NA,NA,NA,NA,NA,NA,11.69,23.9,-102,-1.1799999999999997,COVID19Hosp,,2021-06-25_07-49-37,day,97,0,5
CH,2020-04-02,95,2995,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,935,2042,95,97.36,TRUE,1,8606033,1.1,1.1,1.13,34.8,NA,NA,NA,NA,NA,NA,10.86,23.73,-71,-0.8300000000000001,COVID19Hosp,,2021-06-25_07-49-37,day,95,0,5
CH,2020-04-03,75,3070,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,801,1974,81.57,85.36,TRUE,1,8606033,0.87,0.95,0.99,35.67,NA,NA,NA,NA,NA,NA,9.31,22.94,-134,-1.549999999999999,COVID19Hosp,,2021-06-25_07-49-37,day,75,0,5
CH,2020-04-04,58,3128,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,737,1914,72,79.86,TRUE,1,8606033,0.67,0.84,0.93,36.35,NA,NA,NA,NA,NA,NA,8.56,22.24,-64,-0.75,COVID19Hosp,,2021-06-25_07-49-37,day,58,0,5
CH,2020-04-05,50,3178,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,665,1828,66.57,73.5,TRUE,1,8606033,0.58,0.77,0.85,36.93,NA,NA,NA,NA,NA,NA,7.73,21.24,-72,-0.8300000000000001,COVID19Hosp,,2021-06-25_07-49-37,day,50,0,5
CH,2020-04-06,71,3249,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,571,1735,61.14,63.71,TRUE,1,8606033,0.83,0.71,0.74,37.75,NA,NA,NA,NA,NA,NA,6.63,20.16,-94,-1.1000000000000005,COVID19Hosp,,2021-06-25_07-49-37,day,71,0,5
CH,2020-04-07,58,3307,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,504,1612,56.29,58.5,TRUE,1,8606033,0.67,0.65,0.68,38.43,NA,NA,NA,NA,NA,NA,5.86,18.73,-67,-0.7699999999999996,COVID19Hosp,,2021-06-25_07-49-37,day,58,0,5
CH,2020-04-08,59,3366,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,466,1472,54.43,53.86,TRUE,1,8606033,0.69,0.63,0.63,39.11,NA,NA,NA,NA,NA,NA,5.41,17.1,-38,-0.4500000000000002,COVID19Hosp,,2021-06-25_07-49-37,day,59,0,5
CH,2020-04-09,57,3423,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,428,1363,52,49.79,TRUE,1,8606033,0.66,0.6,0.58,39.77,NA,NA,NA,NA,NA,NA,4.97,15.84,-38,-0.4400000000000004,COVID19Hosp,,2021-06-25_07-49-37,day,57,0,5
CH,2020-04-10,41,3464,FALSE,28927,0,FALSE,28875,0,FALSE,28663,0,FALSE,4027,0,FALSE,4903,0,FALSE,23227,0,394,1195,45.86,46.71,TRUE,1,8606033,0.48,0.53,0.54,40.25,NA,NA,NA,NA,NA,NA,4.58,13.89,-34,-0.3899999999999997,COVID19Hosp,,2021-06-25_07-49-37,day,41,0,5
