geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
CH02,202023,0,251,NA,NA,1886584,0,13.3,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-23,-1,-0.05,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH03,202023,0,132,NA,NA,1171157,0,11.27,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-23,-1,-0.09,-100,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH04,202023,0,127,NA,NA,1539275,0,8.25,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-23,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH05,202023,0,117,NA,NA,1183813,0,9.88,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-23,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH06,202023,0,61,NA,NA,818962,0,7.45,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-23,0,0,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH07,202023,1,313,1,100,351491,0.28,89.05,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-23,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CH01,202024,2,725,1,100,1654751,0.12,43.81,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-24,2,0.12,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH02,202024,0,251,NA,NA,1886584,0,13.3,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-24,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH03,202024,0,132,NA,NA,1171157,0,11.27,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-24,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH04,202024,0,127,NA,NA,1539275,0,8.25,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-24,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH05,202024,2,119,1,100,1183813,0.17,10.05,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-24,2,0.17,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CH06,202024,0,61,NA,NA,818962,0,7.45,COVID19Death,,2021-06-25_07-49-37,isoweek,2020-24,0,0,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
