nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
all,CH01,202102,33242,3494,29748,862789,10.5,-0.9000000000000004,15.6,1,100,1654751,2008.88,52140.11,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-02,-2469,-149.21,-6.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202102,28833,3235,25598,703030,11.2,-3,14.5,1,100,1886584,1528.32,37264.71,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-02,-3348,-177.46,-10.4,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202102,19429,2084,17345,460189,10.7,-2.6000000000000014,11.6,1,100,1171157,1658.96,39293.54,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-02,-2682,-229,-12.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202102,26475,2992,23483,738409,11.3,-3.3999999999999986,11.1,1,100,1539275,1719.97,47971.22,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-02,-4694,-304.94,-15.1,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH05,202102,18494,2308,16186,437794,12.5,-4.399999999999999,14.2,1,100,1183813,1562.24,36981.69,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-02,-4436,-374.72,-19.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202102,12818,1992,10826,278603,15.5,-3.6999999999999993,14,1,100,818962,1565.15,34019.04,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-02,-1094,-133.59,-7.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202102,7459,754,6705,155244,10.1,-5.300000000000001,15.7,1,100,351491,2122.1,44167.28,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-02,-1138,-323.77,-13.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202103,34920,3367,31553,897709,9.6,-0.9000000000000004,15.3,1,100,1654751,2110.29,54250.4,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-03,1678,101.41,5,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202103,30050,2671,27379,733080,8.9,-2.299999999999999,14.2,1,100,1886584,1592.83,38857.53,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-03,1217,64.51,4.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202103,22332,1847,20485,482521,8.3,-2.3999999999999986,11.4,1,100,1171157,1906.83,41200.37,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-03,2903,247.87,14.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202103,30875,2645,28230,769284,8.6,-2.700000000000001,11,1,100,1539275,2005.81,49977.03,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-03,4400,285.84,16.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH05,202103,23367,2080,21287,461161,8.9,-3.5999999999999996,14,1,100,1183813,1973.88,38955.56,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-03,4873,411.64,26.3,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202103,13049,1535,11514,291652,11.8,-3.6999999999999993,13.9,1,100,818962,1593.36,35612.4,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-03,231,28.21,1.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202103,7715,482,7233,162959,6.2,-3.8999999999999995,15.3,1,100,351491,2194.94,46362.21,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-03,256,72.84,3.4,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202104,37450,3156,34294,935159,8.4,-1.1999999999999993,15.1,1,100,1654751,2263.18,56513.58,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-04,2530,152.89,7.2,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH02,202104,29792,2494,27298,762872,8.4,-0.5,14,1,100,1886584,1579.15,40436.68,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-04,-258,-13.68,-0.9,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH03,202104,22959,1473,21486,505480,6.4,-1.9000000000000004,11.2,1,100,1171157,1960.37,43160.74,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-04,627,53.54,2.8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH04,202104,33336,2202,31134,802620,6.6,-2,10.8,1,100,1539275,2165.69,52142.73,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-04,2461,159.88,8,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH05,202104,24912,1841,23071,486073,7.4,-1.5,13.6,1,100,1183813,2104.39,41059.95,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-04,1545,130.51,6.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH06,202104,12562,1026,11536,304214,8.2,-3.6000000000000014,13.7,1,100,818962,1533.89,37146.29,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-04,-487,-59.47,-3.7,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH07,202104,6052,340,5712,169011,5.6,-0.6000000000000005,14.9,1,100,351491,1721.81,48084.02,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-04,-1663,-473.13,-21.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
all,CH01,202105,45180,3161,42019,980339,7,-1.4000000000000004,14.7,1,100,1654751,2730.32,59243.9,COVID19Test,,2021-06-25_07-49-37,isoweek,2021-05,7730,467.14,20.6,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
