sex,geoRegion,datum,entries,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_28d,timeframe_14d
unknown,CH,202039,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-39,0,NA,NA,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
male,CH,202040,84,3008,0.519,51.9,4268863,1.97,70.46,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-40,26,0.61,44.8,0.09999999999999432,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202040,78,2056,0.481,48.1,4337170,1.8,47.4,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-40,24,0.55,44.4,-0.09999999999999432,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202040,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-40,0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202041,144,3152,0.518,51.800000000000004,4268863,3.37,73.84,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-41,60,1.4,71.4,-0.09999999999999432,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202041,134,2190,0.482,48.199999999999996,4337170,3.09,50.49,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-41,56,1.29,71.8,0.09999999999999432,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202041,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-41,0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202042,376,3528,0.599,59.9,4268863,8.81,82.64,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-42,232,5.44,161.1,8.099999999999994,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202042,252,2442,0.401,40.1,4337170,5.81,56.3,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-42,118,2.72,88.1,-8.099999999999994,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202042,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-42,0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202043,659,4187,0.557,55.7,4268863,15.44,98.08,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-43,283,6.63,75.3,-4.199999999999996,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202043,524,2966,0.443,44.3,4337170,12.08,68.39,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-43,272,6.27,107.9,4.199999999999996,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202043,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-43,0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202044,933,5120,0.592,59.199999999999996,4268863,21.86,119.94,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-44,274,6.42,41.6,3.499999999999993,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202044,642,3608,0.408,40.8,4337170,14.8,83.19,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-44,118,2.72,22.5,-3.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202044,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-44,0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202045,964,6084,0.594,59.4,4268863,22.58,142.52,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-45,31,0.72,3.3,0.20000000000000284,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202045,658,4266,0.406,40.6,4337170,15.17,98.36,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-45,16,0.37,2.5,-0.19999999999999574,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202045,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-45,0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202046,848,6932,0.573,57.3,4268863,19.86,162.39,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-46,-116,-2.72,-12,-2.1000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202046,631,4897,0.427,42.699999999999996,4337170,14.55,112.91,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-46,-27,-0.62,-4.1,2.0999999999999943,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202046,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-46,0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202047,735,7667,0.575,57.49999999999999,4268863,17.22,179.6,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-47,-113,-2.64,-13.3,0.19999999999999574,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
female,CH,202047,544,5441,0.425,42.5,4337170,12.54,125.45,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-47,-87,-2.01,-13.8,-0.19999999999999574,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
unknown,CH,202047,0,1,0,0,NA,NA,NA,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-47,0,NA,NA,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
male,CH,202048,685,8352,0.581,58.099999999999994,4268863,16.05,195.65,COVID19Hosp,sex,2021-06-25_07-49-37,isoweek,2020-48,-50,-1.17,-6.8,0.6000000000000014,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
